,output
0,"Explicação: A notícia parece ser uma mistura de fatos reais e exageros. O deputado Reginaldo Lopes é um membro do PT e é conhecido por suas atividades políticas. No entanto, a descrição de um juiz participando de uma campanha política e tomando ""escracho"" histórico é altamente improvável e parece ser uma exagero ou uma piada. Além disso, a expressão ""chulapada"" e ""toque de classe"" são termos que não são usualmente associados a eventos políticos formais.

Resposta: 0"
1,"Explicação: A notícia é falsa. Não há evidências concretas ou fontes confiáveis que confirmem que o presidente Michel Temer se encontrou com o apóstolo Valdemiro Santiago no Palácio do Planalto. Além disso, a alegação de que Temer estava angariando fiéis para apoiar sua reforma da Previdência é especulativa e não está respaldada por informações verificáveis. A notícia contém elementos de sensacionalismo e desinformação.

Resposta: 0"
2,"Explicação: A notícia menciona que o senador Magno Malta (PR) pode ser o vice de Jair Bolsonaro nas eleições de 2018. No entanto, a notícia não fornece fontes confiáveis ou detalhes concretos sobre a confirmação de Malta como vice. Além disso, a notícia menciona que Bolsonaro está ""99% acertado"" com o Partido Ecológico Nacional (PEN), mas não fornece detalhes sobre a filiação ou a mudança de nome do partido. Portanto, a notícia parece ser uma especulação ou rumor, sem confirmação oficial.

Resposta: 0"
3,"Explicação: A notícia apresenta uma série de alegações e especulações sobre a corrupção envolvendo o ex-presidente Lula, incluindo supostas relações com Portugal, Angola e Cuba. No entanto, a notícia não fornece fontes concretas ou evidências específicas que possam confirmar essas alegações. A citação de uma ""fonte segura"" não é suficiente para validar a veracidade das informações, especialmente quando a fonte não é identificada de forma clara. Além disso, a jornalista Eliane Cantanhêde é conhecida por suas análises e comentários, mas suas declarações não são necessariamente factuais e podem ser baseadas em especulações e interpretações.

Resposta: 0"
4,"Explicação: A notícia é verdadeira. A senadora Gleisi Hoffmann, que é ré na Operação Lava Jato, realmente fez declarações contra o juiz federal Sérgio Moro. Ela criticou o juiz por sua sentença contra o ex-presidente Lula e afirmou que Moro trabalha a favor de interesses que querem acabar com a democracia. Essas declarações foram amplamente reportadas por diversos meios de comunicação.

Resposta: 1"
5,"Explicação: A notícia é verdadeira. Evandro Mesquita é conhecido por suas declarações políticas e frequentemente expressa suas opiniões sobre questões de interesse público. A informação sobre a tentativa de abrir um processo disciplinar contra Sérgio Moro por parte de senadores petistas é um tema de debate público e já foi amplamente discutido em diversos meios de comunicação. A menção à lista da Odebrecht também é um fato conhecido, pois a planilha com os nomes dos políticos que receberam dinheiro da empreiteira foi apreendida pela Polícia Federal durante as investigações da Operação Lava Jato.

Resposta: 1"
6,"Explicação: A notícia é falsa. Ciro Gomes, um político brasileiro, é conhecido por suas declarações contundentes e críticas, mas a citação atribuída a ele sobre Michel Temer é uma distorção. A citação original de Ciro Gomes sobre a crise econômica e a perda de mandato de Dilma Rousseff é verdadeira, mas a parte sobre Michel Temer ser ""vaidoso, safado, conspirador e um grande FDP"" não é uma citação verificada e parece ser uma invenção para criar uma notícia sensacionalista.

Resposta: 0"
7,"Explicação: A notícia contém elementos que sugerem uma situação de tensão política, com um senador reagindo a declarações de um general do Exército. No entanto, a notícia é escrita de maneira sensacionalista e contém expressões coloquiais que não são típicas de comunicados oficiais. Além disso, não há fontes confiáveis ou links para a verificação da informação. A ausência de detalhes concretos e a linguagem informal indicam que a notícia pode ser uma fake news.

Resposta: 0"
8,"Explicação: A notícia parece ser uma reportagem sobre a modelo Tanya Griffiths, que é uma pessoa transgênero. A história detalha sua transição de gênero, incluindo a cirurgia e sua perspectiva sobre a necessidade de revelar seu passado para parceiros. A notícia é acompanhada por uma citação direta de Tanya e informações sobre sua aceitação e apoio familiar. Não há indicações de que a notícia seja falsa ou que contenha informações inconsistentes com o que é conhecido sobre a vida de Tanya Griffiths.

Resposta: 1"
9,"Explicação: A notícia contém várias afirmações que não são corroboradas por fontes confiáveis ou por informações verificáveis. A citação do primeiro-ministro japonês Shinzo Abe não é confirmada por nenhuma fonte oficial, e a informação sobre a Coreia do Norte utilizando sarin em suas armas nucleares é especulativa e não tem base em fatos comprovados. Além disso, a menção de ""espionagem americana"" e a confirmação de que a Coreia do Norte está prestes a realizar novos lançamentos de mísseis e explosões de armas nucleares não é sustentada por evidências concretas.

Resposta: 0"
